"informative_0","informative_1","informative_2","informative_3","informative_4","informative_5","informative_6","informative_7","informative_8","informative_9","informative_10","informative_11","informative_12","informative_13","informative_14","informative_15","informative_16","informative_17","informative_18","informative_19","informative_20","informative_21","informative_22","informative_23","informative_24","informative_25","informative_26","informative_27","informative_28","informative_29","noisy_30","noisy_31","noisy_32","noisy_33","noisy_34","noisy_35","noisy_36","noisy_37","noisy_38","noisy_39","noisy_40","noisy_41","noisy_42","noisy_43","noisy_44","noisy_45","noisy_46","noisy_47","noisy_48","noisy_49","noisy_50","noisy_51","noisy_52","noisy_53","noisy_54","noisy_55","noisy_56","noisy_57","noisy_58","noisy_59","noisy_60","noisy_61","noisy_62","noisy_63","noisy_64","noisy_65","noisy_66","noisy_67","noisy_68","noisy_69","noisy_70","noisy_71","noisy_72","noisy_73","noisy_74","noisy_75","noisy_76","noisy_77","noisy_78","noisy_79","noisy_80","noisy_81","noisy_82","noisy_83","noisy_84","noisy_85","noisy_86","noisy_87","noisy_88","noisy_89","noisy_90","noisy_91","noisy_92","noisy_93","noisy_94","noisy_95","noisy_96","noisy_97","noisy_98","noisy_99","class"
2.3208153492,2.4079680492,4.3238360465,2.4121831938,-5.8318335379,7.1072175035,0.2228863298,4.5834901454,-3.6096786493,0.5790360487,3.5485272462,0.1445560947,-4.1574904534,0.1349154498,9.8662393912,1.6227070813,5.8142391266,-6.2972463029,-1.0121380499,2.0380310999,2.6234038296,2.1156933243,-1.0333336352,-0.5251178286,-3.3558903320,3.2595294422,7.6944495381,-3.5746680202,0.3046509978,0.7395871245,0.3486687364,-0.6329432935,-0.6435188903,0.2570859122,-0.5136842795,-0.7032782710,0.9959585139,0.0988164085,-0.8078364522,-0.5318294557,-0.4535368391,1.0345641626,-1.0727037263,-0.8672364644,0.7649956805,-0.5055287486,-1.3339017930,-0.2308143559,0.1743393822,0.5589013618,-0.5416346735,0.2149290804,1.2840373633,-2.0551538276,-0.9079177239,0.1042001476,0.1427961787,0.8311151320,-0.7499681021,0.2042119167,0.9079685077,-0.9576599049,-0.5870384239,-0.8914512954,-0.4268739371,-1.7474586445,0.2165700325,-1.0899350948,0.5673278573,0.9515543693,-0.2390313986,-0.1944219313,-0.7832765468,1.7081911257,-0.8117099282,0.2846567745,-0.6115177276,-0.6552187566,2.1461894274,-0.0612676165,-0.4684914402,0.8367955311,1.5516031144,-1.0381805056,0.3555939498,0.1300652543,0.3525162743,-0.1951991252,-0.2670626595,-0.9279802710,-0.8477738466,1.3077003150,-1.4804771381,0.0672982792,0.1199100576,0.7675598873,0.6069771008,-0.0343307362,0.7186537205,-0.2621817241,0
0.2468584149,4.4990793559,-1.5334676101,2.6572336770,1.9046194893,0.2430238390,1.8044350157,5.0425179607,2.6755105412,-3.4097244905,-0.6643236004,4.2306603042,-3.9575481495,-2.3442700541,1.7588928661,-0.7643603139,-3.0074426231,1.7074649117,-1.1544166244,-1.0854497976,-2.8088181180,-1.0550222791,0.6065163552,1.9378043558,-3.7327888233,2.0251141294,-1.8689024508,0.3270507299,0.4506941145,-3.2653367545,-0.9419922018,0.2338481481,-0.6609154726,0.6802551199,-0.2035907365,-0.6346895150,-0.5355072395,-0.5567242007,-0.2241649091,-0.0054033523,-0.9273757724,-1.7096015437,0.6207286690,-1.2447933769,1.8479275280,-1.7746116513,-2.2133830704,-0.5326513571,0.1614856800,-0.6995631929,0.4535414475,1.8575970523,1.7122948327,-0.4129184635,0.1282398505,0.6615599660,0.5277380878,0.2291351366,0.4583776343,0.8340445921,-0.6496587452,0.5550744921,-1.1949250063,-0.4883929868,-0.2910454710,1.1226393642,-1.4177753233,1.9366950896,0.4949406522,-0.3075506449,1.0400997279,-0.2046172828,-0.5961512977,-0.0609299353,1.2398047496,1.4975574341,1.3018585684,-0.2589219798,-0.9970276660,0.3416244561,0.0866950170,0.7224634197,2.3253491147,-1.7069085731,0.1841951847,0.2022325725,-0.3700009564,0.0453246972,0.1327594676,0.8399356187,0.0951365088,-2.6127607135,-0.4760114571,0.3244795450,-0.3283648741,0.7537064804,1.2313540776,0.0850028903,-0.2365298849,-0.0188946426,0
-3.6170477933,1.1669622387,8.5040551688,0.7341168757,7.2603801658,-0.0421247782,-0.9615983475,3.4611807454,5.6323065520,0.1709371840,2.2809787696,-2.7208527799,0.0443655202,-3.5193594658,4.4684178717,2.3056220984,1.9657278229,2.2180533591,-6.6818234864,1.2982943473,3.9042629162,-1.1829755021,4.9273757338,1.0782493114,3.6605540930,3.9415376229,-6.3561562031,2.4945654827,0.2271008495,-1.4778002690,-1.1642708790,0.1571651066,1.0418983459,-0.0016010267,-0.1235182314,-0.6321554163,0.7663814948,1.3901398489,1.7250247155,1.9272979952,-0.3352465203,0.1208410584,0.7679031566,0.2055769709,-0.6410437435,-0.1065993376,-0.2214373067,1.3883164455,0.9708419867,-1.1229556612,0.3364819378,0.5738081897,0.1149701976,-0.7983198470,2.4211960313,0.0646730617,-0.4844109333,-0.4765872664,-0.3752426761,-0.0547392983,-0.4682297615,0.0993884999,2.4871523411,-1.0922935006,1.1758640577,1.1709980166,-1.3068766135,-0.1375272620,-2.1591031818,-0.6861208952,0.2535874367,0.2650141633,-1.0631206441,1.3269862625,0.0521330287,0.0975713881,-1.7126231743,-1.2804832139,0.1720193187,-0.9799313971,0.7790129218,0.7221140694,-0.4709830598,-0.6159184050,-0.9786010259,0.3651363003,0.0966432752,1.4512007934,0.6799618205,-1.3594188416,-1.0926558380,0.7594344146,-0.6638780403,0.8526328717,0.9963646355,-0.4669194023,0.0211442117,0.6776134239,-1.5826924424,-0.2928009652,0
-7.0873003955,-2.6367239967,-0.7655408870,2.2408263909,-7.2089568505,1.4879978382,1.5525497670,-0.1546456720,-2.3956887469,-2.3358588814,-2.3030962016,1.7636739089,3.0319631885,-4.2439341467,-0.4551678070,-4.2129865255,5.2385508261,9.0644308520,3.8725921613,-0.4383733043,0.4730358511,-1.2117463460,-5.5203934807,-1.0577797362,-5.0870407745,-1.1362619221,0.7182714929,0.4637363285,5.5459037188,-2.4576311767,0.1903286193,0.1424312797,-0.6323727517,1.1613242650,0.0975153626,0.3601643868,0.6929964980,1.5115133257,-1.9438924847,0.1894658639,-0.8698304906,0.3378763457,-0.3840096086,-0.6112289020,-0.7227109800,-0.4297353265,0.9109311622,-0.9997297169,0.9660389002,-0.0694667619,-0.0934267473,-0.9992355796,0.1727486535,0.7233932061,0.5251370137,0.7222089577,-1.2508940191,0.9204820615,-1.0647503013,0.2211995465,-0.4393053351,1.0026933267,1.1353155497,1.8363621584,-0.5197753516,-0.5379102454,0.3859344043,-0.1219912038,-0.8849519865,2.5262163705,-1.2074413771,0.0240410934,-0.2303390935,-0.3808658831,-0.6339494519,-1.3937422042,0.8842401781,0.0072471166,-0.9323076227,-0.9054910647,0.1988560803,0.4644098310,-0.2840957388,-0.2109883045,0.9897791528,-0.6394438422,0.8828552707,1.4483277453,-1.2080886705,0.9588726451,-0.5178450998,-0.4264016980,0.0539123417,0.7488862182,-0.6644842436,-0.4515914927,-0.0471017553,-0.1218778200,-0.0056486664,1.1885698205,0
-5.7773318130,-2.4020915521,-2.4130735729,-4.8275576479,-0.4913348937,1.4214834518,-3.4835098317,-6.8574414083,0.2162349600,-4.4675279893,-1.6731021918,-5.8028343559,2.6790849517,-2.1858510657,0.1563765273,-2.8288487569,-2.3206307678,2.7022134192,-4.4856050835,-3.3028070451,-3.3241576723,4.5966440908,-6.0959809395,-1.1098444150,6.8374223278,2.7603886960,0.4513638354,1.8109054661,-2.5747021646,-2.7429631985,0.8128471823,-1.1730026139,-0.6605384178,-0.7383460213,0.8992379328,0.3593589700,0.7557360490,1.4450089869,0.0849057655,-1.9123071062,-1.2852541712,-2.3881833556,0.3442723833,-0.2882164459,0.4997441660,0.3749935059,0.7252389279,-0.5307811012,-0.4581903506,0.1389025631,-0.8921539387,-0.5420819869,0.2585878901,-0.5630972491,-0.4494134844,0.4848393648,0.9674090242,0.4607119822,-1.2027970899,0.5638624618,0.6193045774,-0.7137406473,-0.6992281616,0.7298917988,0.9449371647,-0.7638315662,-0.5548886271,-0.0871966960,0.4003100100,-0.6767449084,-1.0534183976,0.9700030987,0.1988822421,-0.3067682451,-0.2401485157,-1.3828021283,-1.1767532282,0.2282413849,0.7395516958,-0.5928956515,0.1675858615,-0.2213872704,0.2740940235,1.1323577382,1.0498459610,0.1051455857,-2.0022989155,-0.2501757453,0.3958866036,-1.9302217304,-0.5615373767,-1.9054108276,0.2543635259,-1.6046895534,1.5990696896,-1.1522656807,0.3718821771,0.8773983180,-0.9900617925,0.2392928949,0
0.8535445593,0.3056344806,-4.1603826625,-4.2981758801,-0.0563956076,-1.2068922997,1.1012477784,1.1274967847,1.7898202235,-3.8031602683,-2.0128664209,-4.2485378512,-4.0541015561,1.1562760395,-0.7970486156,-0.8073426139,-1.1962692904,3.3158722389,-4.2236626275,-0.1540386833,-2.0613965565,3.3834020777,-2.5094089895,-0.3336675856,0.5186205053,4.5233764911,-0.2516238536,0.9743065172,-1.7672190730,-2.6649220858,1.3168727081,0.1796565081,-0.4712330344,-0.5343759624,-0.5337435591,-1.1878681819,1.3250764751,1.1291605158,0.3685968455,0.2080724347,-1.9071016409,-1.1893981852,-2.3334205840,-2.5092401689,-0.6900940988,-1.0353274380,-0.6804879609,0.0394371120,1.5739487711,-0.4311308461,-0.8661847030,-0.7421440482,0.8212159449,-1.8827897211,0.7468644435,0.7619965095,-0.7415102602,-0.7305501942,-0.4900522099,0.8469375085,-1.5196807109,-1.6461184097,-0.7145697636,-1.2139139555,-1.7293985182,1.2058155221,-1.8760710083,0.2123187327,0.1130012621,1.7787543219,0.5523569720,-0.4408801850,0.0732991644,0.6827066868,1.1534782484,-0.0687679976,-1.6368571235,-0.9528816327,0.6077091981,0.3622726207,-0.7396812935,0.3271095882,-0.3151254884,-0.2838916519,-1.1101467637,0.4449350186,0.2827925027,1.3854204091,-0.5520636326,-0.5372181262,1.2186890430,-0.8113755289,-1.6380792925,-1.3000852545,-0.7004845023,0.1926862352,1.2046918047,-0.7458752315,0.6177000508,1.6986766334,0
1.4996815390,1.7135750225,-7.9947420566,-1.2087131431,1.0312283156,4.7211971730,4.4923830985,-4.5559418131,5.6292659221,1.3707133322,-3.9595162448,-6.3905930088,-2.9062681454,0.1468857042,-3.4322634151,0.3877337427,-3.5602272855,4.8867300460,-4.2400241734,-2.1766389155,4.8686062396,2.0366690246,1.8918770810,-6.2059476515,1.7859752436,8.1888415714,-1.8110450488,-0.0232763333,-2.9556768334,0.5632367945,0.8124385805,-0.7033238375,0.7243213135,-0.6999909780,-0.1518111745,0.6805275940,-0.1004177205,0.7766642934,1.2096009409,1.2225153748,0.7836334335,-0.2172779218,0.5374209785,0.8788867394,-0.3901686702,-0.9885794003,-1.4390213691,2.5100008975,0.2768616978,0.9882809880,0.3345003186,1.0114746618,-0.3713225234,0.1358267606,-0.1013349687,0.3808937106,-0.2799403552,0.1899496862,-0.8222995961,0.8005873977,0.1823572951,0.8854734593,-0.8801138831,0.3209472203,-0.7557218289,-0.8162373516,1.0191870677,1.5819419781,1.7259048123,1.0226885234,0.1471882536,1.2793722375,1.1821203641,1.4231737820,-2.3914492168,0.7317431654,-0.5615957011,0.5886034368,1.2389836210,1.2972489104,-0.1104991991,1.0673640783,1.0982866611,0.3400389696,-1.2123425418,-1.4931646663,0.6865838466,0.2830282938,0.3501605879,-0.3706384262,0.0424622843,-1.2387313389,1.1975499926,0.3376856832,-1.4877833716,-0.0014209897,1.7157811261,1.5780916080,0.0111243552,-0.8789308181,0
-5.7215390779,-5.3667662302,-0.8034681039,-4.6549725762,-0.2462120301,2.0148299097,-3.2559020179,-1.1938139217,0.3821914596,1.9207856830,1.8376788241,-3.7517417560,-4.9358787247,-3.8274277848,0.8701742853,0.2018454756,3.6206511462,-6.3576644268,-1.3686070643,-0.4266419797,5.1076235231,0.8666311205,6.2455297901,1.5803597464,-2.6367838939,3.2206042998,-2.5655426171,-4.3156769388,-3.8566268091,1.9768929716,1.4124356490,-0.6531769342,-0.0937785579,0.1675924060,-1.2135501296,1.1451626025,1.8147298443,0.0848232212,-0.2778835431,1.9259982339,0.0534979429,-1.0188615861,0.2346455625,-0.2612031760,0.3694971275,1.8205869212,0.4853476958,1.0795324231,-2.6112471069,-0.5370117069,2.1926440237,0.9302013700,-0.4691678683,-0.6207122962,0.5446805567,-0.8059950179,0.1928421759,-0.2816992881,1.1365344132,1.2801069445,0.2837146031,0.6288486650,0.6372058948,0.7709133605,-0.2816561767,1.3192082418,-0.4580938622,1.0093317078,1.4306063431,0.2643895164,0.3698712685,1.5764008191,-0.0832231477,0.3141987968,-1.4592124070,-0.9644671193,0.7516221244,0.7883910822,-0.3481896726,0.4010295564,-0.6639924913,-1.8464147713,0.3019314953,0.7710995461,-1.6218525800,-0.8023591256,1.2105849712,0.1772853402,1.8816404899,-0.5473734124,-1.2077545733,1.1778699461,-0.0090254075,-0.4450605419,1.4779053495,0.7034682343,-0.1441380936,0.1564289408,-0.3447484590,1.4207279018,0
2.8256490106,0.2645373455,-3.0275286774,-2.1048588825,-3.4744221286,-1.4203056517,6.5545666854,-5.6030315688,-1.0018663009,5.9903143931,-6.7251127401,-3.0732825638,2.2687681642,1.8315569599,3.1057470762,-0.8588975864,4.9210802144,0.2042469513,0.1021881259,-3.9738507511,1.9995338367,-1.8196599048,-4.1707885323,-7.8089215927,1.5030837363,1.6702911752,0.5614348202,2.1982565295,3.8178503699,-0.7160512877,0.4247750815,1.3645009034,1.3389589485,1.2463809459,0.4404869192,-0.2063788211,-1.3606134178,0.9125550263,-0.8724159701,-0.8975828225,-0.2925039511,0.7754516680,0.7574681625,0.4248310247,-1.3053987358,-1.4767230575,-0.0571763678,-0.0144469168,-1.4543280799,0.1842825915,-1.2068167703,0.8643101777,0.6430182148,-2.2507943488,-2.0827123903,1.0435812855,-1.5772549324,1.9666291522,0.0119686452,-0.3080036949,-1.0107476617,0.5030165470,0.1557336768,0.3004426634,0.2187610487,0.0420104874,-0.1698530575,-0.4044018431,2.0191934571,0.9817589412,-1.2049286629,2.1461555182,-3.0428901202,-0.2522766052,0.8907622498,1.1972717388,2.7485858455,-2.1274577946,1.2571939462,2.6761297028,0.9004459250,0.3034326628,0.6445063690,0.4084157612,1.4420012580,0.0235570042,0.6506870383,1.4066800949,0.1914795283,0.1550306483,1.9288968632,-0.9552926872,-0.5049212243,0.6665214722,0.3757875092,0.4746793810,-0.6008598073,-0.3658046987,-0.0004411707,0.3710114842,0
-0.8727751928,8.6229770637,1.5360462614,5.8355002036,0.6160227723,5.7045547751,0.7611346214,-0.7773823945,1.6139510157,-2.8744319622,-4.2347690909,2.2302585466,0.4852577462,-0.9609675808,0.4909542123,-0.9007733991,-3.2862127540,4.8733078567,2.8423989803,5.7012674345,-0.5021667984,-4.6981530826,-5.6922458107,-0.4578065043,0.3176774209,5.0083877207,-2.3253598066,6.8504723043,1.5638226135,-5.0814528838,1.3104799167,0.9252382363,1.6498509995,-0.7902564624,-1.6083385730,0.3493520965,0.4234635365,-1.5217893238,-0.0616740382,2.1524506553,-0.0928442876,0.1123587020,-1.2526328015,-1.1632778910,1.6794577231,-1.6112954776,-0.3427002113,-0.5124923500,-1.2246144496,-0.0043312100,0.7985990866,0.9026943320,-0.3835597406,-0.8757990827,-1.0211302023,0.0055555424,0.3496652360,0.6334458240,-0.1293644401,-0.2333705874,-0.4026537741,-0.1577702882,-1.3648531608,-0.1675178754,-0.8414521520,-1.1464347349,-0.4313238058,1.1498558695,-0.1112122597,-0.3111660133,-1.0041107635,1.7925862931,-0.8620298763,-0.6931469310,1.1674024718,0.8277497281,1.9456088761,0.7350787841,-0.1088014503,-1.0370207574,-1.3116537855,0.2920358422,1.1879998090,-0.9633842281,-0.0338613350,-0.4652924904,1.0310910348,0.2517981455,0.2789787451,-1.0338470205,0.6531502596,-0.8303703913,-0.0602142620,-0.2116311227,0.3928013282,2.1690612231,-0.5634540463,1.9188931619,0.3204158268,1.2371742647,0
